"Season","Daynum","team","score","Oteam","Oscore","loc","Numot","fgm","fga","fgm3","fga3","ftm","fta","or","dr","ast","to","stl","blk","pf","Ofgm","Ofga","Ofgm3","Ofga3","Oftm","Ofta","Oor","Odr","Oast","Oto","Ostl","Oblk","Opf","GameID","G.round","win","Pos","OPos","GameTempo","eFGp","OeFGp","TOp","OTOp","ORp","OORp","FTRate","OFTRate","AssistRate","OAssistRate","BlockRate","OBlockRate","StealRate","OStealkRate","TrueShootp","OTrueShootp"
2003,136,1112,80,1436,51,"N",0,31,66,7,23,11,14,11,36,22,16,10,7,8,20,64,4,16,7,7,8,26,12,17,10,3,15,2,1,1,77.65,76.325,76.9875,0.522727272727273,0.34375,0.206052801030264,0.222731739272846,0.297297297297297,0.181818181818182,0.212121212121212,0.109375,0.709677419354839,0.6,0.145833333333333,0.0697674418604651,0.131018670160498,0.128783000643915,0.550584996558844,0.378759747493502
2003,138,1112,96,1211,95,"N",2,34,74,7,24,21,29,18,29,18,9,7,4,20,34,77,11,30,16,21,16,27,20,11,5,5,25,34,2,1,78.775,81.975,80.375,0.506756756756757,0.512987012987013,0.114249444620755,0.13418725221104,0.4,0.355555555555556,0.391891891891892,0.272727272727273,0.529411764705882,0.588235294117647,0.0851063829787234,0.1,0.0853918877706618,0.0634719136781974,0.546852748504699,0.546133946536361
2003,143,1112,88,1323,71,"N",0,36,76,7,14,9,11,14,30,19,10,12,5,17,25,59,10,23,11,18,9,27,15,19,6,4,16,50,3,1,77.225,77.55,77.3875,0.519736842105263,0.508474576271186,0.129491744901263,0.245003223726628,0.341463414634146,0.230769230769231,0.144736842105263,0.305084745762712,0.527777777777778,0.6,0.138888888888889,0.0645161290322581,0.154738878143133,0.0776950469407575,0.54170514004309,0.525536639526277
2003,136,1113,84,1272,71,"N",0,31,59,6,14,16,22,10,27,18,9,7,4,19,25,69,7,28,14,21,20,22,11,12,2,5,18,3,1,1,68.45,70.975,69.7125,0.576271186440678,0.41304347826087,0.131482834185537,0.16907361747094,0.3125,0.425531914893617,0.372881355932203,0.304347826086957,0.580645161290323,0.44,0.0975609756097561,0.111111111111111,0.0986262768580486,0.029218407596786,0.60475161987041,0.449509338398227
2003,137,1120,65,1386,63,"N",1,25,57,7,18,8,13,14,24,11,15,4,5,16,22,59,6,24,13,16,15,21,11,12,8,4,19,18,1,1,64.175,63.6,63.8875,0.5,0.423728813559322,0.233735878457343,0.188679245283019,0.4,0.384615384615385,0.228070175438596,0.271186440677966,0.44,0.5,0.142857142857143,0.102564102564103,0.0628930817610063,0.12465913517725,0.514444004748714,0.472972972972973
2003,139,1120,68,1448,62,"N",0,24,56,4,19,16,20,12,21,11,14,9,6,18,18,49,8,23,18,21,12,23,5,18,7,7,23,42,2,1,67.5,64.975,66.2375,0.464285714285714,0.448979591836735,0.207407407407407,0.277029626779531,0.342857142857143,0.363636363636364,0.357142857142857,0.428571428571429,0.458333333333333,0.277777777777778,0.230769230769231,0.189189189189189,0.138514813389765,0.103703703703704,0.519083969465649,0.525646460364561
2003,137,1139,47,1280,46,"N",0,18,47,5,18,6,8,7,19,5,8,3,0,15,16,44,6,21,8,14,8,22,10,10,6,4,13,19,1,1,51.8,52.65,52.225,0.436170212765957,0.431818181818182,0.154440154440154,0.189933523266857,0.241379310344828,0.296296296296296,0.170212765957447,0.318181818181818,0.277777777777778,0.625,0,0.137931034482759,0.056980056980057,0.115830115830116,0.46259842519685,0.454096742349457
2003,139,1139,79,1257,71,"N",0,27,52,14,22,11,19,10,18,21,12,6,2,11,28,54,11,25,4,4,8,19,13,14,8,2,21,43,2,1,63.025,61.9,62.4625,0.653846153846154,0.62037037037037,0.190400634668782,0.226171243941842,0.344827586206897,0.307692307692308,0.365384615384615,0.0740740740740741,0.777777777777778,0.464285714285714,0.0689655172413793,0.0666666666666667,0.0969305331179321,0.126933756445855,0.647275706677591,0.635062611806798
2003,136,1141,79,1166,73,"N",0,29,53,3,7,18,25,11,20,15,18,13,1,19,27,60,7,17,12,17,14,17,20,21,6,6,21,4,1,1,71.875,75.075,73.475,0.575471698113208,0.508333333333333,0.250434782608696,0.27972027972028,0.392857142857143,0.411764705882353,0.471698113207547,0.283333333333333,0.517241379310345,0.740740740740741,0.0232558139534884,0.130434782608696,0.173160173160173,0.0834782608695652,0.608863198458574,0.536173338229893
2003,136,1143,76,1301,74,"N",1,27,64,7,20,15,23,18,20,17,13,8,2,14,25,56,9,21,15,20,10,26,16,14,5,8,19,5,1,1,69.925,69.5,69.7125,0.4765625,0.526785714285714,0.185913478727208,0.201438848920863,0.409090909090909,0.333333333333333,0.359375,0.357142857142857,0.62962962962963,0.64,0.0571428571428571,0.181818181818182,0.115107913669065,0.0715051841258491,0.507173840507174,0.564885496183206
