Team_ID,Team,First.Place.Votes,Season,PreSeason.Rank
1181,Duke,58,2017,1
1246,Kentucky,2,2017,2
1242,Kansas,0,2017,3
1437,Villanova,4,2017,4
1332,Oregon,1,2017,5
1314,North Carolina,0,2017,6
1462,Xavier,0,2017,7
1438,Virginia,0,2017,8
1458,Wisconsin,0,2017,9
1112,Arizona,0,2017,10
1231,Indiana,0,2017,11
1277,Michigan State,0,2017,12
1257,Louisville,0,2017,13
1211,Gonzaga,0,2017,14
1345,Purdue,0,2017,15
1417,UCLA,0,2017,16
1388,Saint Mary's,0,2017,17
1163,Connecticut,0,2017,18
1393,Syracuse,0,2017,19
1452,West Virginia,0,2017,20
1400,Texas,0,2017,21
1166,Creighton,0,2017,22
1348,Rhode Island,0,2017,23
1235,Iowa State,0,2017,24
1268,Maryland,0,2017,25
1314,North Carolina,35,2016,1
1246,Kentucky,10,2016,2
1268,Maryland,14,2016,3
1242,Kansas,5,2016,4
1181,Duke,0,2016,5
1438,Virginia,0,2016,6
1235,Iowa State,0,2016,7
1328,Oklahoma,0,2016,8
1211,Gonzaga,0,2016,9
1455,Wichita State,0,2016,10
1437,Villanova,0,2016,11
1112,Arizona,0,2016,12
1277,Michigan State,0,2016,13
1143,California,0,2016,14
1231,Indiana,0,2016,15
1428,Utah,0,2016,16
1458,Wisconsin,0,2016,17
1435,Vanderbilt,0,2016,18
1323,Notre Dame,0,2016,19
1163,Connecticut,0,2016,20
1261,LSU,0,2016,21
1124,Baylor,0,2016,22
1345,Purdue,0,2016,23
1139,Butler,0,2016,24
1276,Michigan,0,2016,25
1246,Kentucky,52,2015,1
1112,Arizona,5,2015,2
1458,Wisconsin,8,2015,3
1181,Duke,0,2015,4
1242,Kansas,0,2015,5
1314,North Carolina,0,2015,6
1196,Florida,0,2015,7
1257,Louisville,0,2015,8
1438,Virginia,0,2015,9
1400,Texas,0,2015,10
1455,Wichita State,0,2015,11
1437,Villanova,0,2015,12
1211,Gonzaga,0,2015,13
1235,Iowa State,0,2015,14
1433,VCU,0,2015,15
1361,San Diego State,0,2015,16
1163,Connecticut,0,2015,17
1277,Michigan State,0,2015,18
1328,Oklahoma,0,2015,19
1326,Ohio State,0,2015,20
1304,Nebraska,0,2015,21
1374,SMU,0,2015,22
1393,Syracuse,0,2015,23
1276,Michigan,0,2015,24
1217,Harvard,0,2015,25
1246,Kentucky,27,2014,1
1277,Michigan State,22,2014,2
1257,Louisville,14,2014,3
1181,Duke,2,2014,4
1242,Kansas,0,2014,5
1112,Arizona,0,2014,6
1276,Michigan,0,2014,7
1329,Oklahoma State,0,2014,8
1393,Syracuse,0,2014,8
1196,Florida,0,2014,9
1326,Ohio State,0,2014,10
1314,North Carolina,0,2014,11
1272,Memphis,0,2014,12
1433,VCU,0,2014,13
1211,Gonzaga,0,2014,14
1455,Wichita State,0,2014,15
1266,Marquette,0,2014,16
1163,Connecticut,0,2014,17
1332,Oregon,0,2014,18
1458,Wisconsin,0,2014,19
1323,Notre Dame,0,2014,20
1417,UCLA,0,2014,21
1307,New Mexico,0,2014,22
1438,Virginia,0,2014,23
1124,Baylor,0,2014,24
1231,Indiana,43,2013,1
1257,Louisville,20,2013,2
1246,Kentucky,2,2013,3
1326,Ohio State,0,2013,4
1276,Michigan,0,2013,5
1301,NC State,0,2013,6
1242,Kansas,0,2013,7
1181,Duke,0,2013,8
1393,Syracuse,0,2013,9
1196,Florida,0,2013,10
1314,North Carolina,0,2013,11
1112,Arizona,0,2013,12
1417,UCLA,0,2013,13
1277,Michigan State,0,2013,14
1281,Missouri,0,2013,15
1166,Creighton,0,2013,16
1272,Memphis,0,2013,17
1424,UNLV,0,2013,18
1124,Baylor,0,2013,19
1361,San Diego State,0,2013,20
1211,Gonzaga,0,2013,21
1323,Notre Dame,0,2013,22
1458,Wisconsin,0,2013,23
1153,Cincinnati,0,2013,24
1199,Florida State,0,2013,25
1314,North Carolina,62,2012,1
1246,Kentucky,0,2012,2
1326,Ohio State,1,2012,3
1163,Connecticut,2,2012,4
1393,Syracuse,0,2012,5
1181,Duke,0,2012,6
1435,Vanderbilt,0,2012,7
1196,Florida,0,2012,8
1257,Louisville,0,2012,9
1338,Pittsburgh,0,2012,10
1272,Memphis,0,2012,11
1124,Baylor,0,2012,12
1242,Kansas,0,2012,13
1462,Xavier,0,2012,14
1458,Wisconsin,0,2012,15
1112,Arizona,0,2012,16
1417,UCLA,0,2012,17
1276,Michigan,0,2012,18
1104,Alabama,0,2012,19
1401,Texas A&M,0,2012,20
1153,Cincinnati,0,2012,21
1266,Marquette,0,2012,22
1211,Gonzaga,0,2012,23
1143,California,0,2012,24
1281,Missouri,0,2012,25
1181,Duke,55,2011,1
1277,Michigan State,8,2011,2
1243,Kansas State,2,2011,3
1326,Ohio State,0,2011,4
1338,Pittsburgh,0,2011,5
1437,Villanova,0,2011,6
1242,Kansas,0,2011,7
1314,North Carolina,0,2011,8
1196,Florida,0,2011,9
1393,Syracuse,0,2011,10
1246,Kentucky,0,2011,11
1211,Gonzaga,0,2011,12
1228,Illinois,0,2011,13
1345,Purdue,0,2011,14
1281,Missouri,0,2011,15
1124,Baylor,0,2011,16
1139,Butler,0,2011,17
1449,Washington,0,2011,18
1272,Memphis,0,2011,19
1207,Georgetown,0,2011,20
1439,Virginia Tech,0,2011,21
1396,Temple,0,2011,22
1397,Tennessee,0,2011,23
1140,BYU,0,2011,24
1361,San Diego State,0,2011,25
1242,Kansas,55,2010,1
