Season,Team,Region,Seed
1985,1207,East,1
1985,1210,East,2
1985,1228,East,3
1985,1260,East,4
1985,1374,East,5
1985,1208,East,6
1985,1393,East,7
1985,1396,East,8
1985,1439,East,9
1985,1177,East,10
1985,1455,East,11
1985,1330,East,12
1985,1233,East,13
1985,1318,East,14
1985,1273,East,15
1985,1250,East,16
1985,1385,West,1
1985,1433,West,2
1985,1301,West,3
1985,1424,West,4
1985,1449,West,5
1985,1409,West,6
1985,1104,West,7
1985,1234,West,8
1985,1116,West,9
1985,1112,West,10
1985,1431,West,11
1985,1246,West,12
1985,1361,West,13
1985,1305,West,14
1985,1267,West,15
1985,1380,West,16
1985,1328,Midwest,1
1985,1272,Midwest,2
1985,1181,Midwest,3
1985,1326,Midwest,4
1985,1256,Midwest,5
1985,1403,Midwest,6
1985,1412,Midwest,7
1985,1425,Midwest,8
1985,1229,Midwest,9
1985,1277,Midwest,10
1985,1130,Midwest,11
1985,1338,Midwest,12
1985,1235,Midwest,13
1985,1337,Midwest,14
1985,1335,Midwest,15
1985,1299,Midwest,16
1985,1276,Southeast,1
1985,1314,Southeast,2
1985,1242,Southeast,3
1985,1261,Southeast,4
1985,1268,Southeast,5
1985,1345,Southeast,6
1985,1323,Southeast,7
1985,1437,Southeast,8
1985,1173,Southeast,9
1985,1333,Southeast,10
1985,1120,Southeast,11
1985,1275,Southeast,12
1985,1298,Southeast,13
1985,1325,Southeast,14
1985,1292,Southeast,15
1985,1192,Southeast,16
1986,1181,East,1
1986,1393,East,2
1986,1231,East,3
1986,1328,East,4
1986,1438,East,5
1986,1386,East,6
1986,1298,East,7
1986,1330,East,8
1986,1452,East,9
1986,1409,East,10
1986,1350,East,11
1986,1177,East,12
1986,1318,East,13
1986,1156,East,14
1986,1135,East,15
1986,1290,East,16
1986,1242,Midwest,1
1986,1276,Midwest,2
1986,1323,Midwest,3
1986,1207,Midwest,4
1986,1277,Midwest,5
1986,1301,Midwest,6
1986,1235,Midwest,7
1986,1239,Midwest,8
1986,1396,Midwest,9
1986,1275,Midwest,10
1986,1234,Midwest,11
1986,1449,Midwest,12
1986,1403,Midwest,13
1986,1114,Midwest,14
1986,1103,Midwest,15
1986,1299,Midwest,16
1986,1246,Southeast,1
1986,1210,Southeast,2
1986,1272,Southeast,3
1986,1228,Southeast,4
1986,1104,Southeast,5
1986,1345,Southeast,6
1986,1439,Southeast,7
1986,1443,Southeast,8
1986,1304,Southeast,9
1986,1437,Southeast,10
1986,1261,Southeast,11
1986,1462,Southeast,12
1986,1193,Southeast,13
1986,1123,Southeast,14
1986,1265,Southeast,15
1986,1172,Southeast,16
1986,1385,West,1
1986,1257,West,2
1986,1314,West,3
1986,1424,West,4
1986,1268,West,5
1986,1412,West,6
1986,1133,West,7
1986,1120,West,8
1986,1112,West,9
1986,1431,West,10
1986,1281,West,11
1986,1337,West,12
1986,1419,West,13
1986,1428,West,14
1986,1180,West,15
1986,1286,West,16
1987,1314,East,1
1987,1393,East,2
1987,1345,East,3
1987,1395,East,4
1987,1323,East,5
1987,1196,East,6
1987,1452,East,7
1987,1298,East,8
1987,1276,East,9
1987,1443,East,10
1987,1301,East,11
1987,1292,East,12
1987,1267,East,13
1987,1318,East,14
1987,1204,East,15
1987,1335,East,16
1987,1207,Southeast,1
1987,1104,Southeast,2
1987,1228,Southeast,3
1987,1155,Southeast,4
1987,1242,Southeast,5
1987,1344,Southeast,6
1987,1309,Southeast,7
1987,1246,Southeast,8
1987,1326,Southeast,9
1987,1140,Southeast,10
1987,1412,Southeast,11
1987,1222,Southeast,12
1987,1283,Southeast,13
1987,1122,Southeast,14
1987,1299,Southeast,15
1987,1137,Southeast,16
1987,1231,Midwest,1
1987,1396,Midwest,2
1987,1177,Midwest,3
1987,1281,Midwest,4
1987,1181,Midwest,5
1987,1385,Midwest,6
1987,1210,Midwest,7
1987,1120,Midwest,8
1987,1360,Midwest,9
1987,1261,Midwest,10
1987,1455,Midwest,11
1987,1401,Midwest,12
1987,1462,Midwest,13
1987,1256,Midwest,14
1987,1380,Midwest,15
1987,1193,Midwest,16
1987,1424,West,1
1987,1234,West,2
1987,1338,West,3
1987,1417,West,4
1987,1438,West,5
1987,1328,West,6
1987,1431,West,7
1987,1208,West,8
1987,1243,West,9
1987,1112,West,10
1987,1409,West,11
1987,1461,West,12
1987,1141,West,13
1987,1265,West,14
1987,1365,West,15
1987,1226,West,16
1988,1396,East,1
1988,1181,East,2
1988,1393,East,3
1988,1231,East,4
1988,1210,East,5
1988,1281,East,6
1988,1374,East,7
1988,1207,East,8
1988,1261,East,9
1988,1323,East,10
1988,1348,East,11
1988,1235,East,12
1988,1350,East,13
1988,1299,East,14
1988,1131,East,15
1988,1250,East,16
1988,1345,Midwest,1
1988,1338,Midwest,2
1988,1301,Midwest,3
1988,1243,Midwest,4
1988,1177,Midwest,5
1988,1242,Midwest,6
1988,1435,Midwest,7
1988,1124,Midwest,8
1988,1272,Midwest,9
1988,1429,Midwest,10
1988,1462,Midwest,11
1988,1455,Midwest,12
1988,1247,Midwest,13
1988,1293,Midwest,14
1988,1185,Midwest,15
1988,1192,Midwest,16
1988,1328,Southeast,1
1988,1246,Southeast,2
1988,1228,Southeast,3
1988,1140,Southeast,4
1988,1257,Southeast,5
1988,1437,Southeast,6
1988,1268,Southeast,7
1988,1120,Southeast,8
1988,1133,Southeast,9
1988,1364,Southeast,10
1988,1116,Southeast,11
1988,1333,Southeast,12
1988,1150,Southeast,13
1988,1427,Southeast,14
1988,1380,Southeast,15
1988,1151,Southeast,16
1988,1112,West,1
1988,1314,West,2
1988,1276,West,3
1988,1424,West,4
1988,1234,West,5
1988,1196,West,6
1988,1461,West,7
1988,1371,West,8
1988,1431,West,9
1988,1258,West,10
1988,1385,West,11
1988,1199,West,12
1988,1283,West,13
1988,1129,West,14
1988,1317,West,15
1988,1165,West,16
1989,1207,East,1
1989,1181,East,2
1989,1390,East,3
1989,1234,East,4
1989,1301,East,5
1989,1243,East,6
1989,1452,East,7
1989,1435,East,8
1989,1323,East,9
1989,1397,East,10
1989,1278,East,11
1989,1376,East,12
1989,1353,East,13
1989,1373,East,14
1989,1354,East,15
1989,1343,East,16
1989,1112,West,1
1989,1231,West,2
1989,1371,West,3
1989,1424,West,4
1989,1272,West,5
1989,1333,West,6
1989,1431,West,7
1989,1388,West,8
1989,1155,West,9
1989,1261,West,10
1989,1191,West,11
1989,1177,West,12
1989,1225,West,13
1989,1283,West,14
1989,1206,West,15
1989,1352,West,16
1989,1228,Midwest,1
1989,1393,Midwest,2
1989,1281,Midwest,3
1989,1257,Midwest,4
1989,1116,Midwest,5
1989,1210,Midwest,6
1989,1196,Midwest,7
1989,1338,Midwest,8
1989,1123,Midwest,9
1989,1161,Midwest,10
1989,1400,Midwest,11
1989,1258,Midwest,12
1989,1114,Midwest,13
1989,1166,Midwest,14
1989,1137,Midwest,15
1989,1270,Midwest,16
1989,1328,Southeast,1
1989,1314,Southeast,2
1989,1276,Southeast,3
1989,1199,Southeast,4
1989,1438,Southeast,5
1989,1104,Southeast,6
1989,1417,Southeast,7
1989,1247,Southeast,8
1989,1256,Southeast,9
1989,1235,Southeast,10
1989,1375,Southeast,11
1989,1344,Southeast,12
1989,1292,Southeast,13
1989,1462,Southeast,14
1989,1380,Southeast,15
1989,1190,Southeast,16
1990,1163,East,1
1990,1242,East,2
1990,1181,East,3
1990,1247,East,4
1990,1155,East,5
1990,1385,East,6
1990,1417,East,7
1990,1231,East,8
1990,1143,East,9
1990,1412,East,10
1990,1396,East,11
1990,1140,East,12
1990,1379,East,13
1990,1350,East,14
1990,1352,East,15
1990,1131,East,16
1990,1328,Midwest,1
1990,1345,Midwest,2
1990,1207,Midwest,3
1990,1116,Midwest,4
1990,1228,Midwest,5
1990,1462,Midwest,6
1990,1208,Midwest,7
1990,1314,Midwest,8
1990,1283,Midwest,9
1990,1400,Midwest,10
1990,1243,Midwest,11
1990,1173,Midwest,12
1990,1343,Midwest,13
1990,1411,Midwest,14
1990,1419,Midwest,15
1990,1406,Midwest,16
1990,1277,Southeast,1
1990,1393,Southeast,2
1990,1281,Southeast,3
1990,1210,Southeast,4
1990,1261,Southeast,5
1990,1278,Southeast,6
1990,1438,Southeast,7
1990,1222,Southeast,8
1990,1364,Southeast,9
1990,1323,Southeast,10
1990,1431,Southeast,11
1990,1437,Southeast,12
1990,1190,Southeast,13
1990,1320,Southeast,14
1990,1164,Southeast,15
1990,1293,Southeast,16
1990,1424,West,1
1990,1112,West,2
1990,1276,West,3
1990,1257,West,4
1990,1333,West,5
1990,1308,West,6
1990,1104,West,7
1990,1326,West,8
1990,1344,West,9
1990,1161,West,10
1990,1258,West,11
1990,1123,West,12
1990,1225,West,13
1990,1229,West,14
1990,1378,West,15
1990,1114,West,16
1991,1314,East,1
1991,1393,East,2
1991,1329,East,3
1991,1417,East,4
1991,1280,East,5
1991,1301,East,6
1991,1345,East,7
1991,1343,East,8
1991,1437,East,9
1991,1396,East,10
1991,1379,East,11
1991,1185,East,12
1991,1336,East,13
1991,1307,East,14
1991,1350,East,15
1991,1318,East,16
1991,1116,Southeast,1
1991,1231,Southeast,2
1991,1242,Southeast,3
1991,1104,Southeast,4
1991,1448,Southeast,5
1991,1338,Southeast,6
1991,1199,Southeast,7
1991,1113,Southeast,8
1991,1353,Southeast,9
1991,1425,Southeast,10
1991,1208,Southeast,11
1991,1256,Southeast,12
1991,1293,Southeast,13
1991,1309,Southeast,14
1991,1157,Southeast,15
1991,1209,Southeast,16
1991,1326,Midwest,1
1991,1181,Midwest,2
1991,1304,Midwest,3
1991,1385,Midwest,4
1991,1400,Midwest,5
1991,1261,Midwest,6
1991,1234,Midwest,7
1991,1210,Midwest,8
1991,1177,Midwest,9
1991,1190,Midwest,10
1991,1163,Midwest,11
1991,1389,Midwest,12
1991,1296,Midwest,13
1991,1462,Midwest,14
1991,1419,Midwest,15
1991,1406,Midwest,16
1991,1424,West,1
1991,1112,West,2
1991,1371,West,3
1991,1428,West,4
1991,1277,West,5
1991,1308,West,6
1991,1438,West,7
