Player,NBA.Team,Affiliation,Year,Round Number,Round Pick,Overall Pick,TeamID
Jermareo Davidson,Golden State Warriors,Alabama,2007,2,6,36,1104
Mo Williams,Utah Jazz,Alabama,2003,2,18,47,1104
Richard Hendrix,Golden State Warriors,Alabama,2008,2,19,49,1104
Rod Grizzard,Washington Wizards,Alabama,2002,2,10,38,1104
Aaron Gordon,Orlando Magic,Arizona,2014,1,4,4,1112
Andre Iguodala,Philadelphia 76ers,Arizona,2004,1,9,9,1112
Channing Frye,New York Knicks,Arizona,2005,1,8,8,1112
Chase Budinger,Detroit Pistons,Arizona,2009,2,14,44,1112
Derrick Williams,Minnesota Timberwolves,Arizona,2011,1,2,2,1112
Grant Jerrett,Portland Trail Blazers,Arizona,2013,2,10,40,1112
Hassan Adams,New Jersey Nets,Arizona,2006,2,24,54,1112
Jerryd Bayless,Indiana Pacers,Arizona,2008,1,11,11,1112
Jordan Hill,New York Knicks,Arizona,2009,1,8,8,1112
Luke Walton,Los Angeles Lakers,Arizona,2003,2,3,32,1112
Marcus Williams,San Antonio Spurs,Arizona,2007,2,3,33,1112
Nick Johnson,Houston Rockets,Arizona,2014,2,12,42,1112
Rondae Hollis-Jefferson,Portland Trail Blazers,Arizona,2015,1,23,23,1112
Salim Stoudamire,Atlanta Hawks,Arizona,2005,2,1,31,1112
Solomon Hill,Indiana Pacers,Arizona,2013,1,23,23,1112
Stanley Johnson,Detroit Pistons,Arizona,2015,1,8,8,1112
Carrick Felix,Cleveland Cavaliers,Arizona State,2013,2,3,33,1113
Ike Diogu,Golden State Warriors,Arizona State,2005,1,9,9,1113
James Harden,Oklahoma City Thunder,Arizona State,2009,1,3,3,1113
Jeff Ayres,Sacramento Kings,Arizona State,2009,2,1,31,1113
Tommy Smith,Chicago Bulls,Arizona State,2003,2,24,53,1113
Bobby Portis,Chicago Bulls,Arkansas,2015,1,22,22,1116
Ronnie Brewer,Utah Jazz,Arkansas,2006,1,14,14,1116
Sonny Weems,Chicago Bulls,Arkansas,2008,2,9,39,1116
Jason Jennings,Portland Trail Blazers,Arkansas State,2002,2,14,42,1117
Cory Jefferson,San Antonio Spurs,Baylor,2014,2,30,60,1124
Ekpe Udoh,Golden State Warriors,Baylor,2010,1,6,6,1124
Perry Jones III,Oklahoma City Thunder,Baylor,2012,1,28,28,1124
Pierre Jackson,Philadelphia 76ers,Baylor,2013,2,12,42,1124
Quincy Acy,Toronto Raptors,Baylor,2012,2,7,37,1124
Quincy Miller,Denver Nuggets,Baylor,2012,2,8,38,1124
Taurean Prince,Utah Jazz,Baylor,2016,1,12,12,1124
Craig Smith,Minnesota Timberwolves,Boston College,2006,2,6,36,1130
Jared Dudley,Charlotte Bobcats,Boston College,2007,1,22,22,1130
Olivier Hanlan,Utah Jazz,Boston College,2015,2,12,42,1130
Reggie Jackson,Oklahoma City Thunder,Boston College,2011,1,24,24,1130
Sean Williams,New Jersey Nets,Boston College,2007,1,17,17,1130
Troy Bell,Boston Celtics,Boston College,2003,1,16,16,1130
