"ST","conference","D1School","Seed","Region"
"2003_1102","mwc",1,NA,NA
"2003_1103","mac",1,NA,NA
"2003_1104","sec",1,10,"Midwest"
"2003_1105","swac",1,NA,NA
"2003_1106","swac",1,NA,NA
"2003_1107","aec",1,NA,NA
"2003_1108","swac",1,NA,NA
"2003_1110","patriot",1,NA,NA
"2003_1111","southern",1,NA,NA
"2003_1112","pac_ten",1,1,"West"
"2003_1113","pac_ten",1,10,"West"
"2003_1114","sun_belt",1,NA,NA
"2003_1115","swac",1,NA,NA
"2003_1116","sec",1,NA,NA
"2003_1117","sun_belt",1,NA,NA
"2003_1119","patriot",1,NA,NA
"2003_1120","sec",1,10,"East"
"2003_1122","ovc",1,13,"East"
"2003_1123","mac",1,NA,NA
"2003_1124","big_twelve",1,NA,NA
"2003_1125","a_sun",1,NA,NA
"2003_1126","meac",1,NA,NA
"2003_1127","aec",1,NA,NA
"2003_1128","ind",0,NA,NA
"2003_1129","wac",1,NA,NA
"2003_1130","big_east",1,NA,NA
"2003_1131","aec",1,NA,NA
"2003_1132","mac",1,NA,NA
"2003_1133","mvc",1,NA,NA
"2003_1135","ivy",1,NA,NA
"2003_1137","patriot",1,NA,NA
"2003_1138","mac",1,NA,NA
"2003_1139","horizon",1,12,"East"
"2003_1140","mwc",1,12,"South"
"2003_1141","mac",1,11,"West"
"2003_1142","big_west",1,NA,NA
"2003_1143","pac_ten",1,8,"East"
"2003_1144","a_sun",1,NA,NA
"2003_1145","maac",1,NA,NA
"2003_1147","ind",1,NA,NA
"2003_1148","nec",1,NA,NA
"2003_1149","big_south",1,NA,NA
"2003_1150","cusa",1,NA,NA
"2003_1151","southern",1,NA,NA
"2003_1152","mid_cont",1,NA,NA
"2003_1153","cusa",1,8,"West"
"2003_1154","southern",1,NA,NA
"2003_1155","acc",1,NA,NA
"2003_1156","horizon",1,NA,NA
"2003_1157","big_south",1,NA,NA
"2003_1158","southern",1,NA,NA
"2003_1159","patriot",1,NA,NA
"2003_1160","big_twelve",1,10,"South"
"2003_1161","mwc",1,14,"West"
"2003_1162","ivy",1,NA,NA
"2003_1163","big_east",1,5,"South"
"2003_1164","meac",1,NA,NA
"2003_1165","ivy",1,NA,NA
"2003_1166","mvc",1,6,"West"
"2003_1168","big_west",1,NA,NA
"2003_1169","big_west",1,NA,NA
"2003_1170","big_sky",1,NA,NA
"2003_1171","ivy",1,NA,NA
"2003_1172","southern",1,NA,NA
"2003_1173","a_ten",1,4,"Midwest"
"2003_1174","caa",1,NA,NA
"2003_1175","meac",1,NA,NA
"2003_1176","sun_belt",1,NA,NA
"2003_1177","cusa",1,NA,NA
"2003_1178","horizon",1,NA,NA
"2003_1179","mvc",1,NA,NA
"2003_1180","caa",1,NA,NA
"2003_1181","acc",1,3,"West"
"2003_1182","a_ten",1,NA,NA
"2003_1183","ovc",1,NA,NA
"2003_1184","ovc",1,NA,NA
"2003_1185","mac",1,NA,NA
"2003_1186","big_sky",1,NA,NA
"2003_1187","cusa",1,NA,NA
"2003_1189","big_south",1,NA,NA
"2003_1190","southern",1,15,"East"
"2003_1191","mvc",1,NA,NA
"2003_1192","nec",1,NA,NA
"2003_1193","maac",1,NA,NA
"2003_1194","a_sun",1,NA,NA
"2003_1196","sec",1,2,"South"
"2003_1197","meac",1,NA,NA
"2003_1198","sun_belt",1,NA,NA
"2003_1199","acc",1,NA,NA
"2003_1200","a_ten",1,NA,NA
"2003_1201","wac",1,NA,NA
"2003_1202","southern",1,NA,NA
"2003_1203","a_ten",1,NA,NA
"2003_1204","southern",1,NA,NA
"2003_1205","a_sun",1,NA,NA
"2003_1206","caa",1,NA,NA
"2003_1207","big_east",1,NA,NA
"2003_1208","sec",1,NA,NA
"2003_1209","a_sun",1,NA,NA
"2003_1210","acc",1,NA,NA
"2003_1211","wcc",1,9,"West"
"2003_1212","swac",1,NA,NA
"2003_1214","meac",1,NA,NA
"2003_1216","aec",1,NA,NA
"2003_1217","ivy",1,NA,NA
"2003_1218","wac",1,NA,NA
"2003_1219","big_south",1,NA,NA
"2003_1220","caa",1,NA,NA
"2003_1221","patriot",1,14,"Midwest"
"2003_1222","cusa",1,NA,NA
"2003_1224","meac",1,NA,NA
"2003_1225","big_west",1,NA,NA
"2003_1226","big_sky",1,NA,NA
"2003_1227","horizon",1,NA,NA
"2003_1228","big_ten",1,4,"West"
"2003_1229","mvc",1,NA,NA
"2003_1231","big_ten",1,7,"Midwest"
"2003_1232","mvc",1,NA,NA
"2003_1233","maac",1,NA,NA
"2003_1234","big_ten",1,NA,NA
"2003_1235","big_twelve",1,NA,NA
"2003_1236","ind",1,NA,NA
"2003_1237","mid_cont",1,16,"Midwest"
"2003_1238","swac",1,NA,NA
"2003_1239","a_sun",1,NA,NA
"2003_1240","a_sun",1,NA,NA
"2003_1241","caa",1,NA,NA
"2003_1242","big_twelve",1,2,"West"
"2003_1243","big_twelve",1,NA,NA
"2003_1245","mac",1,NA,NA
"2003_1246","sec",1,1,"Midwest"
"2003_1247","a_ten",1,NA,NA
"2003_1248","patriot",1,NA,NA
"2003_1249","southland",1,NA,NA
"2003_1250","patriot",1,NA,NA
"2003_1251","big_south",1,NA,NA
"2003_1252","ind",0,NA,NA
"2003_1253","big_west",1,NA,NA
"2003_1254","nec",1,NA,NA
"2003_1256","wac",1,NA,NA
"2003_1257","cusa",1,4,"East"
"2003_1258","wcc",1,NA,NA
"2003_1259","maac",1,NA,NA
"2003_1260","horizon",1,NA,NA
"2003_1261","sec",1,8,"South"
"2003_1263","aec",1,NA,NA
"2003_1264","maac",1,14,"East"
"2003_1265","maac",1,NA,NA
"2003_1266","cusa",1,3,"Midwest"
"2003_1267","mac",1,NA,NA
"2003_1268","acc",1,6,"South"
"2003_1269","a_ten",1,NA,NA
"2003_1270","southland",1,NA,NA
"2003_1271","meac",1,NA,NA
"2003_1272","cusa",1,7,"West"
"2003_1273","a_sun",1,NA,NA
"2003_1274","big_east",1,NA,NA
"2003_1275","mac",1,NA,NA
"2003_1276","big_ten",1,NA,NA
"2003_1277","big_ten",1,7,"South"
"2003_1278","big_ten",1,NA,NA
"2003_1279","sec",1,NA,NA
"2003_1280","sec",1,5,"East"
"2003_1281","big_twelve",1,6,"Midwest"
"2003_1282","mid_cont",1,NA,NA
"2003_1283","mvc",1,NA,NA
"2003_1284","nec",1,NA,NA
"2003_1285","big_sky",1,NA,NA
"2003_1286","big_sky",1,NA,NA
"2003_1287","ovc",1,NA,NA
"2003_1288","meac",1,NA,NA
"2003_1289","ind",1,NA,NA
"2003_1290","swac",1,NA,NA
"2003_1291","nec",1,NA,NA
"2003_1292","sun_belt",1,NA,NA
"2003_1293","ovc",1,NA,NA
"2003_1296","mac",1,NA,NA
"2003_1298","patriot",1,NA,NA
"2003_1299","meac",1,NA,NA
"2003_1301","acc",1,9,"East"
"2003_1304","big_twelve",1,NA,NA
"2003_1305","wac",1,NA,NA
"2003_1306","aec",1,NA,NA
"2003_1307","mwc",1,NA,NA
"2003_1308","sun_belt",1,NA,NA
"2003_1309","sun_belt",1,NA,NA
"2003_1310","maac",1,NA,NA
"2003_1311","southland",1,NA,NA
"2003_1313","meac",1,NA,NA
"2003_1314","acc",1,NA,NA
"2003_1317","sun_belt",1,NA,NA
"2003_1318","aec",1,NA,NA
"2003_1319","big_sky",1,NA,NA
"2003_1320","mvc",1,NA,NA
"2003_1321","big_ten",1,NA,NA
"2003_1322","southland",1,NA,NA
"2003_1323","big_east",1,5,"West"
"2003_1324","mid_cont",1,NA,NA
"2003_1325","mac",1,NA,NA
"2003_1326","big_ten",1,NA,NA
"2003_1328","big_twelve",1,1,"East"
"2003_1329","big_twelve",1,6,"East"
"2003_1330","caa",1,NA,NA
"2003_1331","mid_cont",1,NA,NA
"2003_1332","pac_ten",1,8,"Midwest"
"2003_1333","pac_ten",1,NA,NA
"2003_1334","big_west",1,NA,NA
"2003_1335","ivy",1,11,"East"
"2003_1336","big_ten",1,NA,NA
"2003_1337","wcc",1,NA,NA
"2003_1338","big_east",1,2,"Midwest"
"2003_1339","wcc",1,NA,NA
"2003_1340","big_sky",1,NA,NA
"2003_1341","swac",1,NA,NA
"2003_1343","ivy",1,NA,NA
"2003_1344","big_east",1,NA,NA
"2003_1345","big_ten",1,9,"South"
"2003_1346","nec",1,NA,NA
"2003_1347","big_south",1,NA,NA
"2003_1348","a_ten",1,NA,NA
"2003_1349","wac",1,NA,NA
"2003_1350","a_ten",1,NA,NA
"2003_1351","maac",1,NA,NA
"2003_1352","nec",1,NA,NA
"2003_1353","big_east",1,NA,NA
"2003_1354","meac",1,16,"East"
"2003_1356","mvc",1,11,"Midwest"
"2003_1357","nec",1,NA,NA
"2003_1358","southland",1,15,"South"
"2003_1359","a_sun",1,NA,NA
"2003_1360","wcc",1,13,"South"
"2003_1361","mwc",1,NA,NA
"2003_1362","wcc",1,NA,NA
"2003_1363","wac",1,NA,NA
"2003_1364","big_west",1,NA,NA
"2003_1365","wcc",1,NA,NA
"2003_1366","ind",1,NA,NA
"2003_1368","southland",1,NA,NA
"2003_1369","ovc",1,NA,NA
"2003_1371","big_east",1,NA,NA
"2003_1372","southland",1,NA,NA
"2003_1373","maac",1,NA,NA
"2003_1374","wac",1,NA,NA
"2003_1375","sun_belt",1,NA,NA
"2003_1376","sec",1,NA,NA
"2003_1378","cusa",1,NA,NA
"2003_1379","cusa",1,NA,NA
"2003_1380","swac",1,NA,NA
"2003_1381","mid_cont",1,NA,NA
"2003_1382","a_ten",1,NA,NA
"2003_1383","nec",1,NA,NA
"2003_1384","nec",1,NA,NA
"2003_1385","big_east",1,NA,NA
"2003_1386","a_ten",1,7,"East"
"2003_1387","cusa",1,NA,NA
"2003_1388","wcc",1,NA,NA
"2003_1389","maac",1,NA,NA
"2003_1390","pac_ten",1,4,"South"
"2003_1391","a_sun",1,NA,NA
"2003_1392","aec",1,NA,NA
"2003_1393","big_east",1,3,"East"
"2003_1394","ind",1,NA,NA
"2003_1395","cusa",1,NA,NA
"2003_1396","a_ten",1,NA,NA
"2003_1397","sec",1,NA,NA
"2003_1398","ovc",1,NA,NA
"2003_1399","ovc",1,NA,NA
"2003_1400","big_twelve",1,1,"South"
"2003_1401","big_twelve",1,NA,NA
"2003_1402","southland",1,NA,NA
"2003_1403","big_twelve",1,NA,NA
"2003_1404","ovc",1,NA,NA
"2003_1405","mac",1,NA,NA
"2003_1406","caa",1,NA,NA
"2003_1407","a_sun",1,14,"South"
"2003_1408","cusa",1,NA,NA
"2003_1409","wac",1,13,"Midwest"
"2003_1410","ind",1,NA,NA
"2003_1411","swac",1,16,"South"
"2003_1412","cusa",1,NA,NA
"2003_1414","big_west",1,NA,NA
"2003_1415","big_west",1,NA,NA
"2003_1416","a_sun",1,NA,NA
"2003_1417","pac_ten",1,NA,NA
"2003_1418","sun_belt",1,NA,NA
"2003_1419","southland",1,NA,NA
"2003_1420","nec",1,NA,NA
"2003_1421","big_south",1,16,"South"
"2003_1422","southern",1,NA,NA
"2003_1423","caa",1,11,"South"
"2003_1424","mwc",1,NA,NA
"2003_1425","pac_ten",1,NA,NA
"2003_1426","southland",1,NA,NA
"2003_1427","southland",1,NA,NA
