team,name
1394,a&m-corpus chris
1101,abilene chr
1102,air force
1103,akron
1104,alabama
1105,alabama a&m
1106,alabama st
1412,alabama-birmingham
1107,albany
1108,alcorn
1109,alliant international
1110,american
1111,appalachian st
1112,arizona
1113,arizona st
1114,ark little rock
1115,ark pine bluff
1116,arkansas
1117,arkansas st
1118,armstrong
1119,army
1120,auburn
1121,augusta
1122,austin peay
1167,bakersfield
1123,ball st
1124,baylor
1125,belmont
1126,bethune-cookman
1127,binghamton
1128,birmingham so
1129,boise st
1131,boston
1130,boston college
1132,bowling green
1133,bradley
1140,brigham young
1134,brooklyn
1135,brown
1136,bryant
1137,bucknell
1138,buffalo
1139,butler
1141,c michigan
1142,cal poly
1415,cal riverside
1168,cal st. fullerton
1169,cal st. northridge
1143,california
1201,"California State University, Fresno "
1253,"California State University, Long Beach "
1170,"California State University, Sacramento "
1413,california-davis
1414,california-irvine
1364,california-santa barbara
1144,campbell
1145,canisius
1146,cent arkansas
1147,centenary
1148,central conn
1416,central florida
1158,charleston
1149,charleston so
1150,charlotte
1151,chattanooga
1152,chicago st
1153,cincinnati
1154,citadel
1155,clemson
1156,cleveland st
1157,coastal car
1159,colgate
1221,College of the Holy Cross 
1456,College of William & Mary 
1160,colorado
1161,colorado st
1162,columbia
1163,connecticut
1164,coppin st
1165,cornell
1166,creighton
1171,dartmouth
1172,davidson
1173,dayton
1174,delaware
1175,delaware st
1176,denver
1177,depaul
1178,detroit
1179,drake
1180,drexel
1181,duke
1182,duquesne
1183,e illinois
1184,e kentucky
1185,e michigan
1186,e washington
1187,east carolina
1190,east tenn. st.
1188,edwardsville
1189,elon
1441,estern carolina
1191,evansville
1192,f dickinson
1193,fairfield
1195,fgcu
1198,fiu
1194,fl atlantic
1196,florida
1197,florida a&m
1199,florida st
1200,fordham
1236,Fort Wayne
1202,furman
1203,g washington
1204,ga southern
1205,gardner webb
1206,george mason
1207,georgetown
1208,georgia
1210,Georgia Institute of Technology 
1209,georgia st
1211,gonzaga
1212,grambling
1213,grand canyon
1453,green bay
1214,hampton
1215,hardin-simmons
1216,hartford
1217,harvard
1218,hawai?i
1219,high point
1220,hofstra
1222,houston
1223,houston bap
1224,howard
1225,idaho
1226,idaho st
1227,il chicago
1228,illinois
1229,illinois st
1230,incarnate word
1231,indiana
1237,indiana - purdue
1232,indiana st
1233,iona
1234,iowa
1235,iowa st
1238,jackson st
1239,jacksonville
1240,jacksonville st
1241,james madison
1242,kansas
